авт:обусный,バスの,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
автосто:янка,駐車場,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
автомат:ически,自動的に,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
автомоб:ильный,自動車の,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
а то,そうしないと　でないと,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
абсол:ютно,絶対に,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ав:ария,事故　故障,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ави:ация,航空　飛行,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
авт:обус,バス,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
автом:ат,自動販売機　公衆電話　自動小銃,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
автоматиз:ация,自動化,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
автомат:ический,自動の　自動的な,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
автомоб:иль,自動車,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
автон:омия,自治（権）,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
автон:оминый,自治権の,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:автор :авторский,作者　著者,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
авторит:ет авторит:етный,権威　威信,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
автостр:ада,高速道路,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
аг:а,いいですよ　はい,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
аг:ент,代理人,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
аг:енство,代理店,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
агр:арный,農業の,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
агр:ессия агрес:ивный,侵略,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
адвок:ат,弁護士,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
администрат:ивный,行政の　管理の,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
администр:ация,行政（機関）　管理部門,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:адрес,住所　宛名,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
адрес:ант,差出人,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Азия ази:анский,アジア,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ай,まーったくもう！！　　（熱かったときに）あっちち,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
акад:емия,アカデミー　（特別な専門分野の）大学,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
аккур:атный,几帳面な　きちんとした,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
акт,行為　　（学校の）式典　　公式文書　法令,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
актёр,俳優,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
акт:ивный,活動的な　積極的な,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
актр:иса,女優,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
акту:альный,焦眉の　差し迫った,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:акция акцион:ерный,株式　株券,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
алког:оль (м) алког:ольный,アルコール,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
алл:ея,並木道,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
алл:о,もしもし,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
алфав:ит,アルファベット,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
альб:ом,アルバム,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ам:ерика,アメリカ,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
америк:анский,アメリカの,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
америк:анец америк:анка,アメリカ人　,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ан:ализ анализ:ировать,分析　検査,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
англ:иский,イギリスの　英語の,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
англич:анка,イギリス人,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Англия,イギリス,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
анекд:от,（風刺的内容の）一口話,ru-passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
